findFlow(300,nodes(1), nodes)
403,1.112577
397,1.756796
393,6.634073
408,2.986512
409,2.614103
407,5.600615
411,2.151047
413,0.226316
415,0.026407
416,0.026411
414,0.052817
412,0.279133
410,2.430180
406,8.030796
392,14.664869
366,29.386189
420,4.047104
422,0.445843
423,0.535267
421,0.981110
419,5.028213
424,41.876502
418,46.904715
427,9.174836
430,0.111326
431,0.127230
429,0.238556
432,1.192755
428,1.431312
426,10.606148
434,11.585379
436,1.550316
437,1.446364
435,2.996680
433,14.582059
425,25.188207
417,72.092922
365,101.479112
241,164.102908
1,300.000000

ans =

   300

diary off
